week,show_type,title,ori_country,genre,release_date,is_NF_Ori,imdb_rating,rt_rating,country_chart,show_link,Continent,rel_yr,rel_mt,country_pop,trend_count
27,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
26,Movie,Feel the Beat,United States of America,Comedy,6/19/2020,TRUE,64,46,UKR,https://flixpatrol.com/title/feel-the-beat-2020,EUR,2020,6,331002647,1808
26,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
25,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,UKR,https://flixpatrol.com/title/365-days,EUR,2020,6,37846605,145
25,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
24,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,UKR,https://flixpatrol.com/title/365-days,EUR,2020,6,37846605,145
24,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
23,Movie,The Mask,United States of America,Comedy,7/29/1994,FALSE,69,77,UKR,https://flixpatrol.com/title/the-mask,EUR,1994,7,331002647,1808
23,TV Show,Space Force,United States of America,Comedy,5/29/2020,TRUE,70,41,UKR,https://flixpatrol.com/title/space-force,EUR,2020,5,331002647,1808
22,Movie,Battleship,United States of America,Science Fiction,4/11/2012,FALSE,59,34,UKR,https://flixpatrol.com/title/battleship,EUR,2012,4,331002647,1808
22,TV Show,Snowpiercer,United States of America,Science Fiction,5/17/2020,TRUE,61,62,UKR,https://flixpatrol.com/title/snowpiercer-2020,EUR,2020,5,331002647,1808
21,Movie,The Wrong Missy,United States of America,Comedy,5/13/2020,TRUE,56,25,UKR,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5,331002647,1808
21,TV Show,White Lines,United Kingdom,Crime,5/15/2020,TRUE,61,64,UKR,https://flixpatrol.com/title/white-lines,EUR,2020,5,67886004,150
20,Movie,The Wrong Missy,United States of America,Comedy,5/13/2020,TRUE,56,25,UKR,https://flixpatrol.com/title/the-wrong-missy,EUR,2020,5,331002647,1808
20,Documentary TV,The Last Dance,United States of America,Documentary,4/19/2020,TRUE,94,97,UKR,https://flixpatrol.com/title/the-last-dance,EUR,2020,4,331002647,1808
19,Movie,Extraction,United States of America,Action,4/24/2020,TRUE,70,68,UKR,https://flixpatrol.com/title/extraction-2020,EUR,2020,4,331002647,1808
19,TV Show,Hollywood,United States of America,Drama,5/1/2020,TRUE,65,57,UKR,https://flixpatrol.com/title/hollywood-2020,EUR,2020,5,331002647,1808
18,Movie,Extraction,United States of America,Action,4/24/2020,TRUE,70,68,UKR,https://flixpatrol.com/title/extraction-2020,EUR,2020,4,331002647,1808
18,TV Show,Never Have I Ever,United States of America,Comedy,4/27/2020,TRUE,78,98,UKR,https://flixpatrol.com/title/never-have-i-ever,EUR,2020,4,331002647,1808
17,Movie,The Willoughbys,Canada,Animated,4/22/2020,TRUE,67,89,UKR,https://flixpatrol.com/title/the-willoughbys,EUR,2020,4,37742157,13
17,TV Show,Too Hot to Handle,United States of America,Reality-Show,4/17/2020,TRUE,42,37,UKR,https://flixpatrol.com/title/too-hot-to-handle,EUR,2020,4,331002647,1808
16,Movie,Love. Wedding. Repeat,Italy,Comedy,4/10/2020,TRUE,55,34,UKR,https://flixpatrol.com/title/love-wedding-repeat,EUR,2020,4,60461828,23
16,TV Show,Money Heist,Spain,Action,5/2/2017,TRUE,84,93,UKR,https://flixpatrol.com/title/money-heist,EUR,2017,5,46754783,218
15,Movie,Coffee & Kareem,United States of America,Comedy,4/3/2020,TRUE,50,19,UKR,https://flixpatrol.com/title/coffee-kareem,EUR,2020,4,331002647,1808
15,TV Show,Money Heist,Spain,Action,5/2/2017,TRUE,84,93,UKR,https://flixpatrol.com/title/money-heist,EUR,2017,5,46754783,218
14,Movie,The Platform,Spain,Science Fiction,3/20/2020,TRUE,73,0,UKR,https://flixpatrol.com/title/the-platform,EUR,2020,3,46754783,218
14,TV Show,Ozark,United States of America,Crime,7/21/2017,TRUE,84,81,UKR,https://flixpatrol.com/title/ozark,EUR,2017,7,331002647,1808
13,Movie,The Platform,Spain,Science Fiction,3/20/2020,TRUE,73,0,UKR,https://flixpatrol.com/title/the-platform,EUR,2020,3,46754783,218
13,TV Show,Freud,Austria,Drama,3/15/2020,TRUE,67,50,UKR,https://flixpatrol.com/title/freud,EUR,2020,3,9006400,12
37,Movie,"Love, Guaranteed",United States of America,Comedy,9/3/2020,TRUE,55,50,MAR,https://flixpatrol.com/title/love-guaranteed,AFR,2020,9,331002647,1808
37,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,MAR,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
36,Movie,Santana,South Africa,Action,8/28/2020,FALSE,39,0,MAR,https://flixpatrol.com/title/santana,AFR,2020,8,59308690,17
36,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,MAR,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
35,Movie,The Sleepover,United States of America,Comedy,8/21/2020,TRUE,55,80,MAR,https://flixpatrol.com/title/the-sleepover,AFR,2020,8,331002647,1808
35,TV Show,Lucifer,United States of America,Superhero,1/25/2016,TRUE,83,87,MAR,https://flixpatrol.com/title/lucifer,AFR,2016,1,331002647,1808
34,Movie,Project Power,United States of America,Action,8/14/2020,TRUE,61,63,MAR,https://flixpatrol.com/title/project-power,AFR,2020,8,331002647,1808
34,TV Show,Dark Desire,Mexico,Drama,7/15/2020,TRUE,75,0,MAR,https://flixpatrol.com/title/dark-desire,AFR,2020,7,128932753,85
33,Movie,Work It,United States of America,Comedy,8/7/2020,TRUE,61,0,MAR,https://flixpatrol.com/title/work-it-2020,AFR,2020,8,331002647,1808
33,TV Show,Locked Up,Spain,Drama,4/20/2015,TRUE,83,100,MAR,https://flixpatrol.com/title/locked-up,AFR,2015,4,46754783,218
32,Movie,Seriously Single,South Africa,Comedy,7/31/2020,TRUE,38,0,MAR,https://flixpatrol.com/title/seriously-single,AFR,2020,7,59308690,17
32,TV Show,Locked Up,Spain,Drama,4/20/2015,TRUE,83,100,MAR,https://flixpatrol.com/title/locked-up,AFR,2015,4,46754783,218
31,Movie,The Kissing Booth 2,United Kingdom,Romance,7/24/2020,TRUE,62,28,MAR,https://flixpatrol.com/title/the-kissing-booth-2,AFR,2020,7,67886004,150
31,TV Show,Dark Desire,Mexico,Drama,7/15/2020,TRUE,75,0,MAR,https://flixpatrol.com/title/dark-desire,AFR,2020,7,128932753,85
30,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,MAR,https://flixpatrol.com/title/the-old-guard,AFR,2020,7,331002647,1808
30,TV Show,Cursed,United States of America,Fantasy,7/17/2020,TRUE,51,69,MAR,https://flixpatrol.com/title/cursed-2020,AFR,2020,7,331002647,1808
29,Movie,The Old Guard,United States of America,Superhero,7/10/2020,TRUE,82,80,MAR,https://flixpatrol.com/title/the-old-guard,AFR,2020,7,331002647,1808
29,TV Show,Queen of the South,United States of America,Drama,6/23/2016,FALSE,77,0,MAR,https://flixpatrol.com/title/queen-of-the-south,AFR,2016,6,331002647,1808
28,Movie,Safe House,United States of America,Thriller,2/10/2012,FALSE,68,53,MAR,https://flixpatrol.com/title/safe-house,AFR,2012,2,331002647,1808
28,TV Show,Warrior Nun,United States of America,Fantasy,7/2/2020,TRUE,69,0,MAR,https://flixpatrol.com/title/warrior-nun,AFR,2020,7,331002647,1808
27,Movie,365 Days,Poland,Romance,6/7/2020,FALSE,35,0,MAR,https://flixpatrol.com/title/365-days,AFR,2020,6,37846605,145
